title,artist_1,artist_2,artist_3,artist_4,artist_5,artist_6,num_artists,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,type,analysis_url,track_href,id,uri
"""Stressed Out""",Twenty One Pilots,,,,,,1,0.0462,0.734,202333,0.637,False,2.29e-05,4,0.0602,-5.677,0,0.141,169.977,4,0.648,audio_features,https://api.spotify.com/v1/audio-analysis/3CRDbSIZ4r5MsZ0YwxuEkn,https://api.spotify.com/v1/tracks/3CRDbSIZ4r5MsZ0YwxuEkn,3CRDbSIZ4r5MsZ0YwxuEkn,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn
"""Sorry""",Justin Bieber,,,,,,1,0.0797,0.654,200787,0.76,False,0,0,0.299,-3.669,0,0.045,99.945,4,0.41,audio_features,https://api.spotify.com/v1/audio-analysis/69bp2EbF7Q2rqc5N3ylezZ,https://api.spotify.com/v1/tracks/69bp2EbF7Q2rqc5N3ylezZ,69bp2EbF7Q2rqc5N3ylezZ,spotify:track:69bp2EbF7Q2rqc5N3ylezZ
"""Light It Up (feat. Nyla & Fuse ODG)""",Major Lazer,Nyla,Fuse ODG,,,,3,0.0369,0.736,166138,0.879,False,0.000736,9,0.233,-3.782,0,0.0696,107.976,4,0.757,audio_features,https://api.spotify.com/v1/audio-analysis/6lDo13SSgTv0WbyUQKgnjk,https://api.spotify.com/v1/tracks/6lDo13SSgTv0WbyUQKgnjk,6lDo13SSgTv0WbyUQKgnjk,spotify:track:6lDo13SSgTv0WbyUQKgnjk
"""Closer""",The Chainsmokers,Halsey,,,,,2,0.414,0.748,244960,0.524,False,0,8,0.111,-5.599,1,0.0338,95.01,4,0.661,audio_features,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,7BKLCZ1jbUBVqRi2FVlTVw,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw
"""Me, Myself & I""",G-Eazy,Bebe Rexha,,,,,2,0.0186,0.757,251467,0.672,True,0,0,0.158,-6.524,0,0.0955,111.996,4,0.382,audio_features,https://api.spotify.com/v1/audio-analysis/40YcuQysJ0KlGQTeGUosTC,https://api.spotify.com/v1/tracks/40YcuQysJ0KlGQTeGUosTC,40YcuQysJ0KlGQTeGUosTC,spotify:track:40YcuQysJ0KlGQTeGUosTC
"""Panda""",Desiigner,,,,,,1,0.028,0.576,246761,0.766,True,1.68e-06,10,0.366,-4.943,0,0.449,144.833,4,0.236,audio_features,https://api.spotify.com/v1/audio-analysis/5OOkp4U9P9oL23maHFHL1h,https://api.spotify.com/v1/tracks/5OOkp4U9P9oL23maHFHL1h,5OOkp4U9P9oL23maHFHL1h,spotify:track:5OOkp4U9P9oL23maHFHL1h
"""Cold Water (feat. Justin Bieber & MØ)""",Major Lazer,Justin Bieber,MØ,,,,3,0.0736,0.608,185352,0.798,False,0,6,0.156,-5.092,0,0.0432,92.943,4,0.501,audio_features,https://api.spotify.com/v1/audio-analysis/6DNtNfH8hXkqOX1sjqmI7p,https://api.spotify.com/v1/tracks/6DNtNfH8hXkqOX1sjqmI7p,6DNtNfH8hXkqOX1sjqmI7p,spotify:track:6DNtNfH8hXkqOX1sjqmI7p
"""Fast Car""",Jonas Blue,Dakota,,,,,2,0.453,0.459,212424,0.587,False,0,9,0.307,-6.983,1,0.0785,113.901,4,0.581,audio_features,https://api.spotify.com/v1/audio-analysis/6OZh916QF8XNunWaP97WEZ,https://api.spotify.com/v1/tracks/6OZh916QF8XNunWaP97WEZ,6OZh916QF8XNunWaP97WEZ,spotify:track:6OZh916QF8XNunWaP97WEZ
"""PILLOWTALK""",ZAYN,,,,,,1,0.117,0.584,202747,0.7,True,0,11,0.0939,-4.275,1,0.0456,124.944,4,0.438,audio_features,https://api.spotify.com/v1/audio-analysis/0PDUDa38GO8lMxLCRc4lL1,https://api.spotify.com/v1/tracks/0PDUDa38GO8lMxLCRc4lL1,0PDUDa38GO8lMxLCRc4lL1,spotify:track:0PDUDa38GO8lMxLCRc4lL1
"""CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")""",Justin Timberlake,,,,,,1,0.0123,0.667,236002,0.83,False,0,0,0.191,-5.715,1,0.0749,113.03,4,0.701,audio_features,https://api.spotify.com/v1/audio-analysis/6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/tracks/6JV2JOEocMgcZxYSZelKcc,6JV2JOEocMgcZxYSZelKcc,spotify:track:6JV2JOEocMgcZxYSZelKcc
"""Cake By The Ocean""",DNCE,,,,,,1,0.163,0.774,218440,0.748,True,0,4,0.0516,-5.478,0,0.0509,119.009,4,0.914,audio_features,https://api.spotify.com/v1/audio-analysis/7L5jgZtAyfiU7elB8DIqCx,https://api.spotify.com/v1/tracks/7L5jgZtAyfiU7elB8DIqCx,7L5jgZtAyfiU7elB8DIqCx,spotify:track:7L5jgZtAyfiU7elB8DIqCx
"""Too Good""",Drake,Rihanna,,,,,2,0.0573,0.804,263373,0.648,True,3.49e-05,7,0.102,-7.805,1,0.117,117.983,4,0.392,audio_features,https://api.spotify.com/v1/audio-analysis/11KJSRSgaDxqydKYiD2Jew,https://api.spotify.com/v1/tracks/11KJSRSgaDxqydKYiD2Jew,11KJSRSgaDxqydKYiD2Jew,spotify:track:11KJSRSgaDxqydKYiD2Jew
"""Roses""",The Chainsmokers,ROZES,,,,,2,0.0435,0.713,226739,0.802,False,0.00377,4,0.309,-7.055,1,0.0561,100.001,4,0.343,audio_features,https://api.spotify.com/v1/audio-analysis/3vv9phIu6Y1vX3jcqaGz5Z,https://api.spotify.com/v1/tracks/3vv9phIu6Y1vX3jcqaGz5Z,3vv9phIu6Y1vX3jcqaGz5Z,spotify:track:3vv9phIu6Y1vX3jcqaGz5Z
"""Lush Life""",Zara Larsson,,,,,,1,0.133,0.694,201122,0.712,False,0,7,0.211,-3.923,0,0.046,98.022,4,0.799,audio_features,https://api.spotify.com/v1/audio-analysis/0r4SsYcwvd8URat6AS2m6f,https://api.spotify.com/v1/tracks/0r4SsYcwvd8URat6AS2m6f,0r4SsYcwvd8URat6AS2m6f,spotify:track:0r4SsYcwvd8URat6AS2m6f
"""Middle""",DJ Snake,Bipolar Sunshine,,,,,2,0.0199,0.611,220573,0.7,False,0,9,0.0549,-5.331,1,0.0436,104.981,4,0.213,audio_features,https://api.spotify.com/v1/audio-analysis/4OZEu0Vwq0RB2LAq14v99n,https://api.spotify.com/v1/tracks/4OZEu0Vwq0RB2LAq14v99n,4OZEu0Vwq0RB2LAq14v99n,spotify:track:4OZEu0Vwq0RB2LAq14v99n
"""i hate u, i love u (feat. olivia o'brien)""",gnash,Olivia O'Brien,,,,,2,0.687,0.492,251034,0.275,True,0,6,0.101,-13.4,0,0.3,92.6,4,0.18,audio_features,https://api.spotify.com/v1/audio-analysis/7vRriwrloYVaoAe3a9wJHe,https://api.spotify.com/v1/tracks/7vRriwrloYVaoAe3a9wJHe,7vRriwrloYVaoAe3a9wJHe,spotify:track:7vRriwrloYVaoAe3a9wJHe
"""Needed Me""",Rihanna,,,,,,1,0.11,0.671,191600,0.314,True,0,5,0.0825,-8.091,0,0.244,110.898,4,0.296,audio_features,https://api.spotify.com/v1/audio-analysis/1Tt4sE4pXi57mTD1GCzsqm,https://api.spotify.com/v1/tracks/1Tt4sE4pXi57mTD1GCzsqm,1Tt4sE4pXi57mTD1GCzsqm,spotify:track:1Tt4sE4pXi57mTD1GCzsqm
"""Treat You Better""",Shawn Mendes,,,,,,1,0.107,0.683,187973,0.797,False,0,10,0.114,-4.085,0,0.246,82.916,4,0.758,audio_features,https://api.spotify.com/v1/audio-analysis/76t5B0ttSAje5KHmQbv88t,https://api.spotify.com/v1/tracks/76t5B0ttSAje5KHmQbv88t,76t5B0ttSAje5KHmQbv88t,spotify:track:76t5B0ttSAje5KHmQbv88t
"""Heathens""",Twenty One Pilots,,,,,,1,0.0841,0.732,195920,0.396,False,3.58e-05,4,0.105,-9.348,0,0.0286,90.024,4,0.548,audio_features,https://api.spotify.com/v1/audio-analysis/6i0V12jOa3mr6uu4WYhUBr,https://api.spotify.com/v1/tracks/6i0V12jOa3mr6uu4WYhUBr,6i0V12jOa3mr6uu4WYhUBr,spotify:track:6i0V12jOa3mr6uu4WYhUBr
"""Ride""",Twenty One Pilots,,,,,,1,0.00835,0.645,214507,0.713,False,0,6,0.113,-5.355,1,0.0393,74.989,4,0.566,audio_features,https://api.spotify.com/v1/audio-analysis/2Z8WuEywRWYTKe1NybPQEW,https://api.spotify.com/v1/tracks/2Z8WuEywRWYTKe1NybPQEW,2Z8WuEywRWYTKe1NybPQEW,spotify:track:2Z8WuEywRWYTKe1NybPQEW
"""Let Me Love You""",DJ Snake,Justin Bieber,,,,,2,0.0784,0.476,205947,0.718,False,1.02e-05,8,0.122,-5.309,1,0.0576,199.864,4,0.142,audio_features,https://api.spotify.com/v1/audio-analysis/4pdPtRcBmOSQDlJ3Fk945m,https://api.spotify.com/v1/tracks/4pdPtRcBmOSQDlJ3Fk945m,4pdPtRcBmOSQDlJ3Fk945m,spotify:track:4pdPtRcBmOSQDlJ3Fk945m
"""Stitches""",Shawn Mendes,,,,,,1,0.0152,0.746,206880,0.754,False,0,1,0.0486,-6.681,1,0.067,149.882,4,0.764,audio_features,https://api.spotify.com/v1/audio-analysis/1WP1r7fuvRqZRnUaTi2I1Q,https://api.spotify.com/v1/tracks/1WP1r7fuvRqZRnUaTi2I1Q,1WP1r7fuvRqZRnUaTi2I1Q,spotify:track:1WP1r7fuvRqZRnUaTi2I1Q
"""No Money""",Galantis,,,,,,1,0.0282,0.671,189127,0.916,False,0.00762,6,0.24,-4.014,0,0.0397,126.01,4,0.803,audio_features,https://api.spotify.com/v1/audio-analysis/0gb1J5UrTpzaU1s3nupgCd,https://api.spotify.com/v1/tracks/0gb1J5UrTpzaU1s3nupgCd,0gb1J5UrTpzaU1s3nupgCd,spotify:track:0gb1J5UrTpzaU1s3nupgCd
"""Sex""",Cheat Codes,Kris Kross Amsterdam,,,,,2,0.00451,0.51,228361,0.692,True,0,0,0.138,-5.825,1,0.171,102.42,4,0.209,audio_features,https://api.spotify.com/v1/audio-analysis/5ZEM9j0jrFr5RdHEbl2MYV,https://api.spotify.com/v1/tracks/5ZEM9j0jrFr5RdHEbl2MYV,5ZEM9j0jrFr5RdHEbl2MYV,spotify:track:5ZEM9j0jrFr5RdHEbl2MYV
"""What Do You Mean?""",Justin Bieber,,,,,,1,0.59,0.845,205680,0.567,False,0.00142,5,0.0811,-8.118,0,0.0956,125.02,4,0.793,audio_features,https://api.spotify.com/v1/audio-analysis/3pzjHKrQSvXGHQ98dx18HI,https://api.spotify.com/v1/tracks/3pzjHKrQSvXGHQ98dx18HI,3pzjHKrQSvXGHQ98dx18HI,spotify:track:3pzjHKrQSvXGHQ98dx18HI
"""We Don't Talk Anymore (feat. Selena Gomez)""",Charlie Puth,Selena Gomez,,,,,2,0.621,0.728,217707,0.563,False,0,1,0.179,-8.053,0,0.134,100.017,4,0.352,audio_features,https://api.spotify.com/v1/audio-analysis/06KyNuuMOX1ROXRhj787tj,https://api.spotify.com/v1/tracks/06KyNuuMOX1ROXRhj787tj,06KyNuuMOX1ROXRhj787tj,spotify:track:06KyNuuMOX1ROXRhj787tj
"""My House""",Flo Rida,,,,,,1,0.0215,0.688,192191,0.702,False,0,7,0.128,-4.792,0,0.0499,94.006,4,0.74,audio_features,https://api.spotify.com/v1/audio-analysis/6Knv6wdA0luoMUuuoYi2i1,https://api.spotify.com/v1/tracks/6Knv6wdA0luoMUuuoYi2i1,6Knv6wdA0luoMUuuoYi2i1,spotify:track:6Knv6wdA0luoMUuuoYi2i1
"""Stay (feat. Maty Noyes)""",Kygo,Maty Noyes,,,,,2,0.0444,0.648,239465,0.736,False,0.000137,8,0.171,-7.948,1,0.0385,103.027,4,0.378,audio_features,https://api.spotify.com/v1/audio-analysis/2FiSTH0GYpIioUgjfzMIja,https://api.spotify.com/v1/tracks/2FiSTH0GYpIioUgjfzMIja,2FiSTH0GYpIioUgjfzMIja,spotify:track:2FiSTH0GYpIioUgjfzMIja
"""Hello""",Adele,,,,,,1,0.336,0.481,295493,0.451,False,0,5,0.0872,-6.095,0,0.0347,157.966,4,0.289,audio_features,https://api.spotify.com/v1/audio-analysis/4sPmO7WMQUAf45kwMOtONw,https://api.spotify.com/v1/tracks/4sPmO7WMQUAf45kwMOtONw,4sPmO7WMQUAf45kwMOtONw,spotify:track:4sPmO7WMQUAf45kwMOtONw
"""Never Forget You""",Zara Larsson,MNEK,,,,,2,0.00312,0.583,213428,0.732,False,9.86e-06,11,0.269,-5.728,0,0.0457,145.992,4,0.276,audio_features,https://api.spotify.com/v1/audio-analysis/6WLS56xiRrXjSm9RSdL3zD,https://api.spotify.com/v1/tracks/6WLS56xiRrXjSm9RSdL3zD,6WLS56xiRrXjSm9RSdL3zD,spotify:track:6WLS56xiRrXjSm9RSdL3zD
"""Into You""",Ariana Grande,,,,,,1,0.0161,0.636,244453,0.727,False,1.12e-06,9,0.151,-5.852,1,0.106,107.988,4,0.358,audio_features,https://api.spotify.com/v1/audio-analysis/7yHEDfrJNd0zWOfXwydNH0,https://api.spotify.com/v1/tracks/7yHEDfrJNd0zWOfXwydNH0,7yHEDfrJNd0zWOfXwydNH0,spotify:track:7yHEDfrJNd0zWOfXwydNH0
"""Gold""",Kiiara,,,,,,1,0.615,0.6,225882,0.412,False,0.0025,8,0.134,-9.343,1,0.344,113.049,5,0.408,audio_features,https://api.spotify.com/v1/audio-analysis/6ZSO7kPn8IMJFymyticbJO,https://api.spotify.com/v1/tracks/6ZSO7kPn8IMJFymyticbJO,6ZSO7kPn8IMJFymyticbJO,spotify:track:6ZSO7kPn8IMJFymyticbJO
"""This Girl""",Kungs,Cookin' On 3 Burners,,,,,2,0.0807,0.79,195561,0.705,False,4.81e-05,0,0.251,-4.684,0,0.0383,121.969,4,0.501,audio_features,https://api.spotify.com/v1/audio-analysis/4AOpEhqA7zHxQjkHmRrAp7,https://api.spotify.com/v1/tracks/4AOpEhqA7zHxQjkHmRrAp7,4AOpEhqA7zHxQjkHmRrAp7,spotify:track:4AOpEhqA7zHxQjkHmRrAp7
"""The Ocean (feat. Shy Martin)""",Mike Perry,SHY Martin,,,,,2,0.0225,0.632,183414,0.575,False,1.81e-06,5,0.104,-6.478,1,0.029,90.037,4,0.188,audio_features,https://api.spotify.com/v1/audio-analysis/2CPqh63wRVscbceKcPxwvv,https://api.spotify.com/v1/tracks/2CPqh63wRVscbceKcPxwvv,2CPqh63wRVscbceKcPxwvv,spotify:track:2CPqh63wRVscbceKcPxwvv
"""Lean On (feat. MØ & DJ Snake)""",Major Lazer,MØ,DJ Snake,,,,3,0.00346,0.723,176561,0.809,False,0.00123,7,0.565,-3.081,0,0.0625,98.007,4,0.274,audio_features,https://api.spotify.com/v1/audio-analysis/4WjH9Bzt3kx7z8kl0awxh4,https://api.spotify.com/v1/tracks/4WjH9Bzt3kx7z8kl0awxh4,4WjH9Bzt3kx7z8kl0awxh4,spotify:track:4WjH9Bzt3kx7z8kl0awxh4
"""Hotline Bling""",Drake,,,,,,1,0.00347,0.903,267067,0.62,False,0.000119,2,0.0504,-8.094,1,0.0587,134.96,4,0.539,audio_features,https://api.spotify.com/v1/audio-analysis/2FBUoWkIuQXwayw2RNo5l6,https://api.spotify.com/v1/tracks/2FBUoWkIuQXwayw2RNo5l6,2FBUoWkIuQXwayw2RNo5l6,spotify:track:2FBUoWkIuQXwayw2RNo5l6
"""Sugar (feat. Francesco Yates)""",Robin Schulz,Francesco Yates,,,,,2,0.0185,0.636,219043,0.815,False,0,5,0.163,-5.098,0,0.0581,123.063,4,0.636,audio_features,https://api.spotify.com/v1/audio-analysis/5tf1VVWniHgryyumXyJM7w,https://api.spotify.com/v1/tracks/5tf1VVWniHgryyumXyJM7w,5tf1VVWniHgryyumXyJM7w,spotify:track:5tf1VVWniHgryyumXyJM7w
"""Hymn For The Weekend""",Coldplay,,,,,,1,0.255,0.49,258827,0.743,False,7.21e-06,0,0.3,-5.155,0,0.0409,89.974,4,0.363,audio_features,https://api.spotify.com/v1/audio-analysis/3RiPr603aXAoi4GHyXx0uy,https://api.spotify.com/v1/tracks/3RiPr603aXAoi4GHyXx0uy,3RiPr603aXAoi4GHyXx0uy,spotify:track:3RiPr603aXAoi4GHyXx0uy
"""Hands To Myself""",Selena Gomez,,,,,,1,0.0147,0.811,200680,0.499,False,2.44e-06,5,0.342,-7.161,0,0.118,111.016,4,0.466,audio_features,https://api.spotify.com/v1/audio-analysis/3CJvmtWw2bJsudbAC5uCQk,https://api.spotify.com/v1/tracks/3CJvmtWw2bJsudbAC5uCQk,3CJvmtWw2bJsudbAC5uCQk,spotify:track:3CJvmtWw2bJsudbAC5uCQk
"""Bang My Head (feat. Sia & Fetty Wap)""",David Guetta,Fetty Wap,Sia,,,,3,0.0525,0.599,193333,0.869,False,0.00719,0,0.103,-3.697,1,0.0789,108.061,4,0.593,audio_features,https://api.spotify.com/v1/audio-analysis/53Y0kdCa1CZ9gRqEuknfwy,https://api.spotify.com/v1/tracks/53Y0kdCa1CZ9gRqEuknfwy,53Y0kdCa1CZ9gRqEuknfwy,spotify:track:53Y0kdCa1CZ9gRqEuknfwy
"""Never Be Like You""",Flume,Kai,,,,,2,0.436,0.494,233337,0.559,True,0,0,0.164,-5.445,1,0.0565,119.247,4,0.264,audio_features,https://api.spotify.com/v1/audio-analysis/12REd1n8PeiHHWOh066tpr,https://api.spotify.com/v1/tracks/12REd1n8PeiHHWOh066tpr,12REd1n8PeiHHWOh066tpr,spotify:track:12REd1n8PeiHHWOh066tpr
"""Adventure Of A Lifetime""",Coldplay,,,,,,1,0.00205,0.638,263787,0.924,False,0.000173,7,0.149,-3.887,1,0.0359,111.995,4,0.529,audio_features,https://api.spotify.com/v1/audio-analysis/69uxyAqqPIsUyTO8txoP2M,https://api.spotify.com/v1/tracks/69uxyAqqPIsUyTO8txoP2M,69uxyAqqPIsUyTO8txoP2M,spotify:track:69uxyAqqPIsUyTO8txoP2M
