title,artist_1,artist_2,artist_3,artist_4,artist_5,artist_6,num_artists,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,type,analysis_url,track_href,id,uri
"""Photograph""",Ed Sheeran,,,,,,1,0.607,0.614,258987,0.379,False,0.000464,4,0.0986,-10.48,1,0.0476,107.989,4,0.201,audio_features,https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL,1HNkqx9Ahdgi1Ixy2xkKkL,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL
"""Please Don't Go""",Joel Adams,,,,,,1,0.0118,0.513,210580,0.768,False,1.94e-05,4,0.294,-4.868,0,0.0587,84.264,4,0.235,audio_features,https://api.spotify.com/v1/audio-analysis/3cNjgVBKTJ1SvKhunrCdVy,https://api.spotify.com/v1/tracks/3cNjgVBKTJ1SvKhunrCdVy,3cNjgVBKTJ1SvKhunrCdVy,spotify:track:3cNjgVBKTJ1SvKhunrCdVy
"""Close""",Nick Jonas,Tove Lo,,,,,2,0.253,0.653,234213,0.623,False,0,6,0.144,-5.273,0,0.082,123.999,4,0.401,audio_features,https://api.spotify.com/v1/audio-analysis/2wJhFcye5iiW2mVBpGednz,https://api.spotify.com/v1/tracks/2wJhFcye5iiW2mVBpGednz,2wJhFcye5iiW2mVBpGednz,spotify:track:2wJhFcye5iiW2mVBpGednz
"""Once In a While""",Timeflies,,,,,,1,0.00758,0.786,215160,0.687,True,0,0,0.619,-5.914,1,0.141,105.021,4,0.345,audio_features,https://api.spotify.com/v1/audio-analysis/6cREm4bV7V79Yxdilx9HDo,https://api.spotify.com/v1/tracks/6cREm4bV7V79Yxdilx9HDo,6cREm4bV7V79Yxdilx9HDo,spotify:track:6cREm4bV7V79Yxdilx9HDo
"""One Call Away""",Charlie Puth,,,,,,1,0.403,0.667,194453,0.613,False,0,1,0.115,-5.353,1,0.0344,91.024,4,0.47,audio_features,https://api.spotify.com/v1/audio-analysis/37R0bQOQj5a7DOqh1TGzvB,https://api.spotify.com/v1/tracks/37R0bQOQj5a7DOqh1TGzvB,37R0bQOQj5a7DOqh1TGzvB,spotify:track:37R0bQOQj5a7DOqh1TGzvB
"""YOUTH""",Troye Sivan,,,,,,1,0.0625,0.628,185194,0.737,False,0,7,0.0777,-4.437,1,0.041,91.507,4,0.592,audio_features,https://api.spotify.com/v1/audio-analysis/1cOyWWUr3oXJIxY0AjJEx9,https://api.spotify.com/v1/tracks/1cOyWWUr3oXJIxY0AjJEx9,1cOyWWUr3oXJIxY0AjJEx9,spotify:track:1cOyWWUr3oXJIxY0AjJEx9
"""Kill Em With Kindness""",Selena Gomez,,,,,,1,0.00795,0.757,217907,0.884,False,5.87e-05,10,0.0973,-5.488,0,0.0404,120.012,4,0.398,audio_features,https://api.spotify.com/v1/audio-analysis/7KxhSJOYiqCDclXDBNlFSZ,https://api.spotify.com/v1/tracks/7KxhSJOYiqCDclXDBNlFSZ,7KxhSJOYiqCDclXDBNlFSZ,spotify:track:7KxhSJOYiqCDclXDBNlFSZ
"""The Hills""",The Weeknd,,,,,,1,0.0861,0.356,242253,0.567,True,0,0,0.137,-7.011,0,0.0798,135.553,5,0.109,audio_features,https://api.spotify.com/v1/audio-analysis/25khomWgBVamSdKw7hzm3l,https://api.spotify.com/v1/tracks/25khomWgBVamSdKw7hzm3l,25khomWgBVamSdKw7hzm3l,spotify:track:25khomWgBVamSdKw7hzm3l
"""All My Friends (feat. Tinashe & Chance the Rapper)""",Snakehips,Tinashe,Chance the Rapper,,,,3,0.119,0.689,229747,0.521,True,8.41e-05,0,0.108,-5.845,1,0.132,95.055,4,0.178,audio_features,https://api.spotify.com/v1/audio-analysis/6TaqooOXAEcijL6G1AWS2K,https://api.spotify.com/v1/tracks/6TaqooOXAEcijL6G1AWS2K,6TaqooOXAEcijL6G1AWS2K,spotify:track:6TaqooOXAEcijL6G1AWS2K
"""Wild Things""",Alessia Cara,,,,,,1,0.02,0.741,188493,0.626,False,0,1,0.0828,-4.826,0,0.0886,108.029,4,0.706,audio_features,https://api.spotify.com/v1/audio-analysis/2ZyuwVvV6Z3XJaXIFbspeE,https://api.spotify.com/v1/tracks/2ZyuwVvV6Z3XJaXIFbspeE,2ZyuwVvV6Z3XJaXIFbspeE,spotify:track:2ZyuwVvV6Z3XJaXIFbspeE
"""How Deep Is Your Love""",Calvin Harris,Disciples,,,,,2,0.0389,0.738,212640,0.868,False,0.00171,11,0.388,-4.373,0,0.0731,122.003,4,0.336,audio_features,https://api.spotify.com/v1/audio-analysis/22mek4IiqubGD9ctzxc69s,https://api.spotify.com/v1/tracks/22mek4IiqubGD9ctzxc69s,22mek4IiqubGD9ctzxc69s,spotify:track:22mek4IiqubGD9ctzxc69s
"""Hide Away""",Daya,,,,,,1,0.225,0.885,192376,0.801,False,1.65e-06,11,0.0733,-4.716,0,0.0882,95.011,4,0.466,audio_features,https://api.spotify.com/v1/audio-analysis/6QzJcnl5cvlDHVrx9mhE99,https://api.spotify.com/v1/tracks/6QzJcnl5cvlDHVrx9mhE99,6QzJcnl5cvlDHVrx9mhE99,spotify:track:6QzJcnl5cvlDHVrx9mhE99
"""NO""",Meghan Trainor,,,,,,1,0.0125,0.471,213507,0.802,False,1.45e-06,1,0.702,-3.599,0,0.27,88.615,4,0.653,audio_features,https://api.spotify.com/v1/audio-analysis/3ge54HUrk1ht3EX5SMhIzZ,https://api.spotify.com/v1/tracks/3ge54HUrk1ht3EX5SMhIzZ,3ge54HUrk1ht3EX5SMhIzZ,spotify:track:3ge54HUrk1ht3EX5SMhIzZ
"""Low Life""",Future,The Weeknd,,,,,2,0.337,0.722,313547,0.331,True,0.283,8,0.146,-7.789,1,0.0725,143.974,4,0.102,audio_features,https://api.spotify.com/v1/audio-analysis/7EiZI6JVHllARrX9PUvAdX,https://api.spotify.com/v1/tracks/7EiZI6JVHllARrX9PUvAdX,7EiZI6JVHllARrX9PUvAdX,spotify:track:7EiZI6JVHllARrX9PUvAdX
"""Side To Side""",Ariana Grande,Nicki Minaj,,,,,2,0.0408,0.648,226160,0.738,True,0,6,0.292,-5.883,0,0.247,159.145,4,0.603,audio_features,https://api.spotify.com/v1/audio-analysis/4pLwZjInHj3SimIyN9SnOz,https://api.spotify.com/v1/tracks/4pLwZjInHj3SimIyN9SnOz,4pLwZjInHj3SimIyN9SnOz,spotify:track:4pLwZjInHj3SimIyN9SnOz
"""Where Are Ü Now (with Justin Bieber)""",Jack Ü,Skrillex,Diplo,Justin Bieber,,,4,0.041,0.432,250286,0.781,False,4.21e-06,4,0.0789,-4.038,0,0.0567,139.432,4,0.197,audio_features,https://api.spotify.com/v1/audio-analysis/66hayvUbTotekKU3H4ta1f,https://api.spotify.com/v1/tracks/66hayvUbTotekKU3H4ta1f,66hayvUbTotekKU3H4ta1f,spotify:track:66hayvUbTotekKU3H4ta1f
"""Thinking Out Loud""",Ed Sheeran,,,,,,1,0.474,0.781,281560,0.445,False,0,2,0.184,-6.061,1,0.0295,78.998,4,0.591,audio_features,https://api.spotify.com/v1/audio-analysis/34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/tracks/34gCuhDGsG4bRPIf9bb02f,34gCuhDGsG4bRPIf9bb02f,spotify:track:34gCuhDGsG4bRPIf9bb02f
"""Starving""",Hailee Steinfeld,Grey,Zedd,,,,3,0.379,0.695,181880,0.615,True,0,4,0.104,-4.194,1,0.104,99.817,4,0.532,audio_features,https://api.spotify.com/v1/audio-analysis/6DG2g1UhROp5pnM8fx7zH2,https://api.spotify.com/v1/tracks/6DG2g1UhROp5pnM8fx7zH2,6DG2g1UhROp5pnM8fx7zH2,spotify:track:6DG2g1UhROp5pnM8fx7zH2
"""I Know What You Did Last Summer""",Shawn Mendes,Camila Cabello,,,,,2,0.123,0.657,223827,0.769,False,0,9,0.245,-4.591,0,0.115,113.966,4,0.712,audio_features,https://api.spotify.com/v1/audio-analysis/7crplFzt7spG80NCbpmuCp,https://api.spotify.com/v1/tracks/7crplFzt7spG80NCbpmuCp,7crplFzt7spG80NCbpmuCp,spotify:track:7crplFzt7spG80NCbpmuCp
"""Don't""",Bryson Tiller,,,,,,1,0.222,0.765,198293,0.356,True,0,11,0.0963,-5.556,0,0.196,97.001,4,0.19,audio_features,https://api.spotify.com/v1/audio-analysis/3pXF1nA74528Edde4of9CC,https://api.spotify.com/v1/tracks/3pXF1nA74528Edde4of9CC,3pXF1nA74528Edde4of9CC,spotify:track:3pXF1nA74528Edde4of9CC
"""Broccoli (feat. Lil Yachty)""",DRAM,Lil Yachty,,,,,2,0.236,0.886,225205,0.525,True,0,8,0.057,-7.39,1,0.131,145.99,4,0.708,audio_features,https://api.spotify.com/v1/audio-analysis/7yyRTcZmCiyzzJlNzGC9Ol,https://api.spotify.com/v1/tracks/7yyRTcZmCiyzzJlNzGC9Ol,7yyRTcZmCiyzzJlNzGC9Ol,spotify:track:7yyRTcZmCiyzzJlNzGC9Ol
"""Let Me Hold You (Turn Me On)""",Dante Klein,Cheat Codes,,,,,2,0.101,0.68,163841,0.774,False,0,1,0.113,-3.136,0,0.0697,102.949,4,0.331,audio_features,https://api.spotify.com/v1/audio-analysis/0lmdsH1MIoLsMymnNpd6HU,https://api.spotify.com/v1/tracks/0lmdsH1MIoLsMymnNpd6HU,0lmdsH1MIoLsMymnNpd6HU,spotify:track:0lmdsH1MIoLsMymnNpd6HU
"""When We Were Young""",Adele,,,,,,1,0.348,0.381,290907,0.594,False,0,3,0.0925,-5.97,1,0.0486,143.86,4,0.273,audio_features,https://api.spotify.com/v1/audio-analysis/7IWkJwX9C0J7tHurTD7ViL,https://api.spotify.com/v1/tracks/7IWkJwX9C0J7tHurTD7ViL,7IWkJwX9C0J7tHurTD7ViL,spotify:track:7IWkJwX9C0J7tHurTD7ViL
"""Pop Style""",Drake,,,,,,1,0.173,0.721,212947,0.461,True,3.31e-06,4,0.105,-9.979,0,0.107,133.072,4,0.0559,audio_features,https://api.spotify.com/v1/audio-analysis/334S9SWZMjyRDN0wrHw7wk,https://api.spotify.com/v1/tracks/334S9SWZMjyRDN0wrHw7wk,334S9SWZMjyRDN0wrHw7wk,spotify:track:334S9SWZMjyRDN0wrHw7wk
